,0,1,2,3,4,5
312,2015-2016,Y,5/16/2016,"hold
Classroom",Quick release and was back in a hold from 10:35-10:41am.,
313,,,,Small child,,
314,,,,restraint 1 person,,
315,2015-2016,Y,5/16/2016,"hold
Classroom",xxx ran into the bathroom and was put in a hold for 1 minute.,
316,,,,Small child,,
317,,,,restraint 1 person,,
318,2015-2016,Y,5/16/2016,"hold
Classroom",xxx was aggressive towards staff and was put in a hold for 3 minutes.,
319,,,,Small child,,
320,,,,restraint 1 person,xxx pushed over 2 bookcases and pushed other furniture around.  He was in a small child restraint for 1 minute.  Then,
321,2015-2016,Y,5/16/2016,"hold
Classroom",he picked up the furniture and then was aggressive towards staff again.,
322,,,,Small child,,
323,,,,restraint 1 person,xxx continued to get upset in the classroom next door.  He punched staff in the face.  Staff then had xxx in a small child,
324,2015-2016,Y,5/18/2016,"hold
Classroom",restraint for 2 minutes.  Once he was out of the hold another staff member worked with xxx.,
325,,,,Small child,,
326,,,,restraint 1 person,xxx was brought to the room next door.  He punched staff in the arm and face and screamed.  He was in a small child,
327,2015-2016,Y,6/2/2016,"hold
Classroom",restraint for 5 minutes.,
328,,,,Small child,,
329,,,,restraint 1 person,xxx picked up a chair was about to throw it at a staff member.  Another staff intervened and xxx was in a small child,
330,2015-2016,Y,6/2/2016,"hold
Classroom",restraint for 1 minute.,
331,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
332,,,,,xxx became upset within the classroom over expectations and directives from adults. She began punching herself and,
333,,,,,hitting herself in an unsafe manner. She was verbally redirected to the hallway to have some one on one time with staff,
334,,,,,as this alone time with staff usually helps xxx settle. Once in the hallway xxx began self injurious behavior and staff,
335,,,,,intervened by utilizing a TCI two person small child hold. xxx was compliant with the letting go process and complied,
336,,,,,with directives to take time away within the support area to process with staff. upon entering the support area xxx,
337,,,,Small child,began self injurious behaviors again. At this point staff placed xxx in a TCI Supine hold due to her unsafe behaviors. She,
338,,,,restraint 2 person,was compliant with the letting go process as well as the LSI with staff. She was able to regain control and return to her,
339,2015-2016,Y,6/21/2016,"hold
Classroom","baseline behavior, as well as return to the classroom with no further issues or concerns.",
340,,,,Small child,On the above date and time. The above named student became upset at having to complete his work . At this time the,
341,,,,restraint 1 person,above named student became aggressive and started tipping over chairs and desks. The above named student began to,
342,2015-2016,Y,2/10/2016,"hold
Classroom",kick at staff and was placed in a small child restraint.,
343,,,,,xxx got upset during math because he had to switch centers. He ran out of the room through the double doors. He was,
344,,,,,taken into the support area and was asked to sit. He continued to try and run out of the room so he was asked to move,
345,,,,,"to the back of the support area and sit in a chair. He threw all of the chairs in the back and he was climbing on desks,",
346,,,,,"pinching staff, and head butting staff. He was held for safety for 4 minutes and then he was let go. He still could not",
347,,,,Small child,stop climbing on the desks so he was asked to at least not stand on it. He then was distracted and re-directed.,
348,,,,restraint 1 person,Eventually he was able to make up some work and calm himself. LSI was not done because it was the end of the day,
349,2015-2016,Y,4/4/2016,"hold
Classroom",and he had to go home.,
350,,,,,xxx was upset coming into school because he had a bad bus ride. He had work to make up from the day before in the,
351,,,,,support area. He did not want to do it so he ran away from staff around the school. He was then in the support area,
352,,,,,"and he was throwing chairs, hitting, and kicking. xxx put him in a 1 person small child for about 15 minutes. Once done",
353,,,,,"he came out into the support area and continued to be aggressive towards staff, swore, and threw chairs. He then went",
354,,,,,"into the calm room with xxx in the room also. He was spitting, screaming, and threatening to kill staff. Eventually he",
355,,,,Small child,was about to come out of the room and sit at a desk. When work was presented to him he got upset and started,
356,,,,restraint 1 person,throwing chairs and standing on desks. He was able to calm down and eat his lunch in the support room and return to,
357,2015-2016,Y,4/7/2016,"hold
Hallway",class. This incident lasted about 3 and a half hours.,
358,,,,,xxx became upset because he did not want to do imagine learning. He ran past the double doors and once back in our,
359,,,,,hallway we sat on the benches. When he was asked if he was ready to go back into the room he said no and got upset,
360,,,,Small child,when he was told he would have to make up the work that he missed while out of the room. He then ran out of the,
361,,,,restraint 1 person,building. Once I got him back inside he became aggressive and started hitting and kicking. xxx then put him in a 1,
362,2015-2016,Y,4/11/2016,"hold
Classroom",person small child for his own safety as well as staff's. He was held at 9:35 until 9:39.,
363,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
364,,,,,xxx got upset because his coloring break was over. He started climbing on desks threatening to jump off. He was asked,
365,,,,,to sit in a chair or on the desk but he refused. I took him into the calm room so he could not climb on anything. While in,
366,,,,,there with xxx he became aggressive by punching and kicking and pinching staff. He was also hitting staff in other,
367,,,,,classrooms. I put him in a small child for 8 minutes and then told him he needed to sit and be calm so we could leave,
368,,,,,the room. Once I let him go he became more aggressive. During this time he continued to slap and punch me. He made,
369,,,,Small child,"statement like ""I am going to kill you"" or ""I am going to kill myself"" and ""I wish I was dead"". xxx came and relieved me.",
370,,,,restraint 1 person,xxx was then in the calm room alone because he was being so aggressive towards staff. Continued to the end of the,
371,2015-2016,Y,4/11/2016,"hold
Calm Room",day.,
372,,,,Small child,,
373,,,,restraint 1 person,"xxx came off of the bus with behaviors. He was running away, throwing chairs, trying to stab staff with pencil, kicking,",
374,2015-2016,Y,4/15/2016,"hold
Classroom","hitting, jumping off desks and throwing the ipad.",
375,,,,,xxx was taking time away within the support area to regain control of his hyper behaviors. While in the support area xxx,
376,,,,,began hitting adults and using profanity as well. At this time adults utilized a TCI single person small child hold for,
377,,,,,10min. At this point xxx was compliant with the letting go process with staff. Once xxx stood up he attempted to run,
378,,,,Small child,"out of the support area and school. He was verbally redirected to make safe choices, which he stopped and began",
379,,,,restraint 1 person,hitting adults again. xxx was placed in another TCI small child hold which he was able to settle his aggressiveness and,
